SPACE_POINTS_X
50,51.5152,53.0303,54.5455,56.0606,57.5758,59.0909,60.6061,62.1212,63.6364,65.1515,66.6667,68.1818,69.697,71.2121,72.7273,74.2424,75.7576,77.2727,78.7879,80.303,81.8182,83.3333,84.8485,86.3636,87.8788,89.3939,90.9091,92.4242,93.9394,95.4545,96.9697,98.4848,100,101.515,103.03,104.545,106.061,107.576,109.091,110.606,112.121,113.636,115.152,116.667,118.182,119.697,121.212,122.727,124.242,125.758,127.273,128.788,130.303,131.818,133.333,134.848,136.364,137.879,139.394,140.909,142.424,143.939,145.455,146.97,148.485,150,151.515,153.03,154.545,156.061,157.576,159.091,160.606,162.121,163.636,165.152,166.667,168.182,169.697,171.212,172.727,174.242,175.758,177.273,178.788,180.303,181.818,183.333,184.848,186.364,187.879,189.394,190.909,192.424,193.939,195.455,196.97,198.485,200
SPACE_POINTS_Y
0,0.0144928,0.0289855,0.0434783,0.057971,0.0724638,0.0869565,0.101449,0.115942,0.130435,0.144928,0.15942,0.173913,0.188406,0.202899,0.217391,0.231884,0.246377,0.26087,0.275362,0.289855,0.304348,0.318841,0.333333,0.347826,0.362319,0.376812,0.391304,0.405797,0.42029,0.434783,0.449275,0.463768,0.478261,0.492754,0.507246,0.521739,0.536232,0.550725,0.565217,0.57971,0.594203,0.608696,0.623188,0.637681,0.652174,0.666667,0.681159,0.695652,0.710145,0.724638,0.73913,0.753623,0.768116,0.782609,0.797101,0.811594,0.826087,0.84058,0.855072,0.869565,0.884058,0.898551,0.913043,0.927536,0.942029,0.956522,0.971014,0.985507,1
VALUES
7.89471,7.93069,7.96671,8.00299,8.02578,8.09531,8.06601,8.19157,8.10985,8.27834,8.1624,8.35538,8.22043,8.42529,8.2822,8.49039,8.34581,8.551,8.41164,8.60845,8.47865,8.66292,8.54678,8.71483,8.6151,8.76476,8.68306,8.81336,8.75023,8.86135,8.81621,8.9092,8.88058,8.95719,8.94295,9.0055,9.00323,9.05431,9.06148,9.10366,9.11781,9.15339,9.17232,9.20328,9.22524,9.25321,9.27685,9.30297,9.32729,9.35235,9.37675,9.40118,9.42533,9.44927,9.47296,9.49636,9.51946,9.54233,9.56516,9.58796,9.61114,9.64206,9.61582,9.84283,9.17168,11.2949,5.41063,21.0812,-17.1933,65.1515
8.70544,8.74425,8.782,8.85037,8.80954,8.97698,8.84659,9.07787,8.90463,9.16225,8.9726,9.23777,9.04418,9.30776,9.1178,9.37419,9.19207,9.43677,9.26781,9.49667,9.34409,9.554,9.42091,9.60919,9.49728,9.6628,9.5727,9.71544,9.64681,9.76776,9.71932,9.82016,9.78987,9.87284,9.85815,9.92591,9.9241,9.97952,9.98784,10.0337,10.0495,10.0883,10.1092,10.143,10.1672,10.1977,10.2237,10.2523,10.279,10.3064,10.3332,10.3599,10.3864,10.4126,10.4386,10.4642,10.4895,10.5146,10.5396,10.5645,10.5898,10.6245,10.5929,10.8498,10.0948,12.4556,6.00832,22.7994,-17.032,66.6667
9.56719,9.57962,9.52422,9.79807,9.53272,9.90799,9.61139,9.98504,9.69911,10.0584,9.78707,10.1295,9.87373,10.1984,9.95979,10.2655,10.045,10.3295,10.1309,10.3915,10.2165,10.4514,10.302,10.5097,10.3863,10.5669,10.469,10.6236,10.5499,10.6802,10.6288,10.7371,10.7054,10.7944,10.7795,10.8522,10.851,10.9105,10.9201,10.9695,10.987,11.0289,11.0517,11.0883,11.1147,11.1478,11.176,11.2071,11.2361,11.2659,11.2949,11.324,11.3527,11.3812,11.4094,11.4373,11.4647,11.4919,11.5191,11.5462,11.5735,11.6119,11.5748,11.8623,11.0227,13.6169,6.63525,24.4417,-16.7342,68.1818
9.56719,11.0991,9.92544,10.8827,10.2307,10.8515,10.3863,10.8977,10.5036,10.9608,10.6106,11.028,10.7117,11.096,10.8098,11.1636,10.9059,11.229,11.0017,11.2929,11.0966,11.3553,11.1906,11.4167,11.2826,11.4775,11.3725,11.5381,11.46,11.5989,11.5451,11.6603,11.6275,11.7222,11.7072,11.7847,11.7841,11.8477,11.8585,11.9114,11.9305,11.9754,12.0003,12.0396,12.0681,12.1037,12.1342,12.1676,12.1989,12.231,12.2624,12.2937,12.3247,12.3554,12.3858,12.4158,12.4454,12.4747,12.5039,12.5332,12.5625,12.6047,12.5616,12.8802,11.9561,14.7781,7.2922,26.0155,-16.2971,68.1818
11.277,11.2616,11.1157,11.6216,11.0823,11.7427,11.199,11.8024,11.3268,11.8644,11.4472,11.931,11.5602,11.9995,11.6693,12.0682,11.7757,12.1349,11.8812,12.2008,11.985,12.2657,12.0872,12.3302,12.1868,12.3946,12.2835,12.4592,12.3774,12.5243,12.4684,12.5901,12.5566,12.6566,12.6417,12.7237,12.7239,12.7913,12.8034,12.8596,12.8804,12.9283,12.9551,12.9971,13.0277,13.0658,13.0985,13.1343,13.1678,13.2021,13.2357,13.2693,13.3025,13.3354,13.3679,13.4001,13.4318,13.4631,13.4944,13.5257,13.557,13.6031,13.5538,13.9038,12.8956,15.9388,7.97924,27.5292,-15.7886,71.2121
11.277,12.7569,11.6531,12.5917,11.9043,12.6294,12.0407,12.6988,12.1712,12.7675,12.2988,12.8375,12.4207,12.9082,12.5394,12.9787,12.6553,13.0471,12.7701,13.1151,12.8824,13.1827,12.9924,13.2505,13.099,13.3186,13.2023,13.3871,13.3023,13.4565,13.3991,13.5268,13.4928,13.5978,13.5832,13.6694,13.6706,13.7416,13.7551,13.8145,13.837,13.8877,13.9164,13.961,13.9937,14.0342,14.0691,14.1071,14.1428,14.1795,14.2152,14.251,14.2863,14.3214,14.3561,14.3903,14.424,14.4574,14.4907,14.524,14.5572,14.6073,14.5515,14.9332,13.8416,17.0987,8.69588,28.991,-15.2056,71.2121
12.9892,12.9766,12.8263,13.3505,12.8014,13.5007,12.9075,13.5909,13.0353,13.6706,13.1659,13.7473,13.294,13.8219,13.4209,13.8948,13.5456,13.9653,13.6689,14.0358,13.7891,14.1064,13.9064,14.1776,14.0197,14.2495,14.1292,14.3222,14.235,14.3958,14.3374,14.4705,14.4364,14.546,14.532,14.6221,14.6243,14.6988,14.7137,14.7762,14.8003,14.8538,14.8845,14.9316,14.9663,15.0092,15.0462,15.0865,15.1244,15.1632,15.2011,15.239,15.2764,15.3136,15.3503,15.3866,15.4224,15.4577,15.4929,15.5283,15.5633,15.6175,15.5549,15.9684,14.7948,18.2575,9.44126,30.4085,-14.5787,74.2424
12.9892,14.4875,13.3976,14.3278,13.6542,14.389,13.788,14.4848,13.916,14.5761,14.0475,14.6611,14.1803,14.7404,14.3143,14.8164,14.4471,14.8894,14.5781,14.9628,14.7056,15.0368,14.8295,15.1117,14.9491,15.1876,15.0644,15.2644,15.1757,15.3424,15.2834,15.4215,15.3875,15.5014,15.4881,15.582,15.5852,15.6631,15.6794,15.7448,15.7707,15.8269,15.8594,15.9089,15.9457,15.9909,16.03,16.0725,16.1125,16.1534,16.1934,16.2334,16.273,16.3122,16.351,16.3893,16.427,16.4642,16.5014,16.5388,16.5755,16.6337,16.5642,17.0094,15.7553,19.4151,10.2142,31.7884,-13.9004,74.2424
14.7428,14.7309,14.5712,15.1201,14.5654,15.2757,14.6823,15.3841,14.81,15.4866,14.9423,15.5798,15.0795,15.6639,15.2202,15.7432,15.3601,15.8195,15.4981,15.8963,15.632,15.974,15.762,16.0529,15.8873,16.133,16.0081,16.2141,16.1246,16.2964,16.2373,16.3799,16.3463,16.4642,16.4517,16.5491,16.5536,16.6346,16.6523,16.7206,16.7482,16.807,16.8413,16.8933,16.932,16.9794,17.0206,17.0652,17.1073,17.1503,17.1924,17.2344,17.276,17.3173,17.3581,17.3983,17.4379,17.477,17.5161,17.5554,17.5939,17.6562,17.5795,18.0564,16.7236,20.5718,11.0135,33.137,-13.1952,77.2727
14.7428,16.2549,15.1819,16.1044,15.4431,16.1793,15.5858,16.2922,15.7144,16.4044,15.8491,16.5041,15.9916,16.5924,16.1386,16.6755,16.2849,16.7554,16.4289,16.8362,16.5686,16.9181,16.704,17.0013,16.8345,17.0858,16.9603,17.1713,17.0817,17.258,17.1992,17.3458,17.313,17.4345,17.423,17.5237,17.5294,17.6134,17.6326,17.7037,17.7329,17.7942,17.8304,17.8847,17.9253,17.975,18.0181,18.0649,18.1089,18.154,18.1981,18.2422,18.2858,18.329,18.3717,18.4139,18.4554,18.4963,18.5372,18.5785,18.6186,18.685,18.6011,19.1094,17.6998,21.7276,11.8376,34.4594,-12.4531,77.2727
