SPACE_POINTS_X
50,54.4485,58.5443,62.3192,65.8023,69.0206,71.9991,74.7607,77.327,79.7177,81.9513,84.0452,86.0156,87.8777,89.646,91.3341,92.955,94.5215,96.0455,97.5389,99.0132,100.48,101.95,103.436,104.948,106.498,108.099,109.763,111.502,113.33,115.261,117.311,119.494,121.829,124.332,127.024,129.925,133.058,136.446,140.117,144.099,148.422,153.12,158.229,163.789,169.843,176.437,183.624,191.458,200
SPACE_POINTS_Y
0,0.00318941,0.00645943,0.00989268,0.0135759,0.0176023,0.0220734,0.0271024,0.0328163,0.0393595,0.0468974,0.0556204,0.065749,0.0775393,0.0912889,0.107346,0.126115,0.148072,0.17377,0.20386,0.239102,0.280386,0.328755,0.385433,0.451851,0.529688,0.620912,0.727826,0.853133,1
VALUES
31.6282,31.6965,31.7657,31.8386,31.9167,32.002,32.0966,32.203,32.3236,32.4613,32.6196,32.8021,33.013,33.2577,33.5415,33.8704,34.2512,34.6929,35.204,35.7951,36.4771,37.2611,38.1631,39.2051,40.424,41.5715,41.5649,54.4177,15.9258,124.332
33.8202,33.8855,33.9517,34.0216,34.0965,34.1784,34.2693,34.3716,34.4877,34.6206,34.7735,34.9502,35.1547,35.3924,35.6687,35.9897,36.3624,36.7958,37.2989,37.8824,38.5577,39.3364,40.235,41.2759,42.4999,43.6699,43.5946,56.6701,17.801,127.024
36.2386,36.3006,36.3634,36.4298,36.5011,36.579,36.6658,36.7635,36.8746,37.0019,37.1487,37.3186,37.5158,37.7453,38.0129,38.3246,38.6877,39.1112,39.6046,40.1788,40.8457,41.6174,42.5109,43.5492,44.7767,45.9692,45.8228,59.122,19.8686,129.925
38.9107,38.9689,39.0279,39.0905,39.1576,39.2312,39.3132,39.4057,39.5111,39.6322,39.772,39.9342,40.1229,40.3432,40.6008,40.9017,41.2535,41.6655,42.1473,42.7105,43.3671,44.13,45.0166,46.0504,47.2797,48.4947,48.2744,61.7979,22.1538,133.058
41.8651,41.9192,41.9741,42.0324,42.0949,42.1637,42.2405,42.3273,42.4264,42.5404,42.6724,42.8259,43.0051,43.2151,43.4613,43.75,44.0889,44.4875,44.956,45.5061,46.1504,46.9025,47.7803,48.8077,50.0367,51.274,50.9775,64.725,24.6847,136.446
45.1331,45.1826,45.2332,45.2866,45.3446,45.4079,45.4791,45.5596,45.6516,45.7579,45.8814,46.0256,46.1942,46.3926,46.6261,46.9011,47.2254,47.6089,48.0622,48.5972,49.2273,49.9664,50.8334,51.8525,53.079,54.338,53.9633,67.9334,27.4931,140.117
48.7479,48.7926,48.8383,48.8869,48.9394,48.9973,49.0622,49.1361,49.2208,49.3185,49.4328,49.5667,49.724,49.9098,50.1295,50.3894,50.6976,51.0642,51.5004,52.0184,52.6321,53.3563,54.2105,55.2191,56.4409,57.721,57.2665,71.4563,30.6146,144.099
52.7438,52.7836,52.8245,52.868,52.9151,52.967,53.0257,53.0926,53.1695,53.2587,53.3631,53.4858,53.6311,53.8036,54.0087,54.2524,54.5428,54.8908,55.3082,55.8074,56.4028,57.1101,57.9496,58.9458,60.1604,61.4607,60.9253,75.3303,34.0892,148.422
57.1581,57.1929,57.2286,57.2668,57.3084,57.3543,57.4064,57.466,57.535,57.6155,57.7101,57.8216,57.9543,58.1131,58.3029,58.5296,58.8012,59.1293,59.5262,60.0052,60.5808,61.2694,62.0923,63.0744,64.2796,65.5989,64.9823,79.5962,37.9618,153.12
62.0283,62.0582,62.0891,62.1219,62.1581,62.1982,62.2439,62.2963,62.3571,62.4287,62.5133,62.6139,62.7344,62.8795,63.0543,63.2639,63.516,63.823,64.1988,64.6562,65.2109,65.8795,66.6843,67.6509,68.8447,70.1818,69.4847,84.2983,42.2826,158.229
67.3943,67.4195,67.4455,67.4737,67.5043,67.5387,67.5781,67.6237,67.6769,67.7398,67.8149,67.9049,68.0137,68.146,68.3068,68.501,68.7338,69.0186,69.3728,69.8085,70.3416,70.9896,71.7758,72.7259,73.9065,75.2599,74.4849,89.4858,47.1083,163.789
73.299,73.3201,73.342,73.3654,73.3913,73.4205,73.4538,73.4927,73.5382,73.5925,73.6581,73.7377,73.8351,73.9558,74.1054,74.2879,74.5045,74.7664,75.0993,75.5138,76.0259,76.6536,77.4209,78.3546,79.5207,80.889,80.0404,95.2121,52.5021,169.843
79.787,79.8044,79.8225,79.8418,79.8636,79.888,79.9162,79.9488,79.9875,80.034,80.0903,80.1595,80.2452,80.3543,80.4944,80.6718,80.8808,81.1198,81.4329,81.8274,82.3202,82.9292,83.679,84.5972,85.7491,87.1302,86.2154,101.536,58.535,176.437
86.9078,86.9222,86.9374,86.9534,86.9716,86.9919,87.016,87.044,87.077,87.1169,87.1652,87.2239,87.2974,87.3917,87.5181,87.6954,87.919,88.1361,88.4315,88.8095,89.2861,89.8795,90.6145,91.5194,92.6586,94.0502,93.0807,108.52,65.2864,183.624
94.7137,94.7263,94.7394,94.7537,94.7697,94.7877,94.8086,94.8336,94.8631,94.8982,94.9408,94.9921,95.055,95.133,95.2309,95.3872,95.6764,95.8754,96.158,96.5246,96.99,97.5725,98.2974,99.1929,100.323,101.722,100.715,116.233,72.8449,191.458
103.261,103.273,103.285,103.299,103.314,103.331,103.351,103.375,103.404,103.437,103.478,103.527,103.586,103.659,103.747,103.747,104.207,104.4,104.679,105.041,105.503,106.082,106.803,107.696,108.823,110.224,109.205,124.75,81.3096,200.014
